Product Name,Role Assigned,Price (CAD),Total Score,Sources Count,Consumer Reports - Label,Consumer Reports - Points,Good Housekeeping - Label,Good Housekeeping - Points,The Spruce - Label,The Spruce - Points,Wirecutter - Label,Wirecutter - Points,Why Picked
Sijo Home CrispCool Cotton Sheet Set,Best Overall,118.0,2.0,1,,,,,Best Overall,2.0,,,Highest weighted score (2.0 pts from 1 source(s)).
Brooklinen Luxe Sateen Core Sheet Set,,,2.0,1,,,Best Overall Sateen,2.0,,,,,
JCPenney Wrinkle Guard 400-Thread-Count Sateen Sheet Set,Best Budget,39.97,1.5,1,,,,,,,Best Sateen Sheets,1.5,Highest score under $120 (1.5 pts from 1 source(s)).
Better Homes & Gardens HygroCotton Sheet Set,,49.98,1.5,1,,,,,Best Budget,1.5,,,
California Design Den 400-Thread-Count Sateen Sheet Set,,59.99,1.5,1,,,Best Value,1.5,,,,,
The Company Store Legends Hotel Wrinkle-Free Sheet Set,,78.0,1.5,1,,,Softest Sheets,1.5,,,,,
Brooklinen Classic Percale Core Sheet Set,Best For Specific Use Case,90.0,1.5,1,,,,,Best Cotton,1.5,,,Top for 'Best Cotton' (1.5 pts from 1 source(s)).
Chateau Home Collection Egyptian Cotton Sheet Set,,145.12,1.5,1,,,,,Best Split-King,1.5,,,
Quince Brushed Cotton Sheet Set,,150.0,1.5,1,,,,,Softest,1.5,,,
L.L.Bean Ultrasoft Comfort Flannel Sheet Set,,151.0,1.5,1,,,,,,,Best Flannel Sheets,1.5,
West Elm Silky Tencel Sheet Set,,194.0,1.5,1,,,Best Overall Lyocell,1.5,,,,,
Coyuchi Organic Crinkled Percale Sheet Set,,227.99,1.5,1,,,Best Organic,1.5,,,,,
L.L.Bean Pima Cotton Percale Sheet Set,,245.0,1.5,1,,,Best Overall Percale,1.5,,,,,
Cozy Earth Bamboo Sheet Set,,258.0,1.5,1,,,,,Best Bamboo,1.5,,,
Buffy Belgian Linen Sheet Set,Best Upgrade,279.0,1.5,1,,,,,Best Linen,1.5,,,Highest score above $220 (1.5 pts from 1 source(s)).
PeachSkinSheets Sheet Set,,285.18,1.5,1,,,,,Best for Hot Sleepers,1.5,,,
Cultiver Linen Sheet Set,,385.0,1.5,1,,,,,,,Best Linen Sheets,1.5,
Boll & Branch Signature Hemmed Sheet Set,,868.45,1.5,1,,,,,Best Luxury Sheets,1.5,,,
Mellanni Iconic Collection Microfiber Sheet Set,,,1.5,1,,,Best Overall Microfiber,1.5,,,,,
Slumber Cloud Performance Sheet Set,,,1.5,1,,,Best Cooling,1.5,,,,,
The Citizenry Stonewashed Linen Sheet Set,,,1.5,1,,,Best Overall Linen,1.5,,,,,
Bare Home Poly Satin Sheet Set,,49.99,1.0,1,mention,1.0,,,,,,,
Quince Classic Organic Percale 270-Thread-Count Sheet Set,,90.0,1.0,1,mention,1.0,,,,,,,
SilkSilky 19-Momme Silk Sheet Set,,195.99,1.0,1,mention,1.0,,,,,,,
Coyuchi Cloud Soft Organic Sateen Sheet Set,,298.0,1.0,1,mention,1.0,,,,,,,
Parachute European Flax Linen Sheet Set,,485.0,1.0,1,mention,1.0,,,,,,,
Boll & Branch Reserve Sheet Set,,,1.0,1,mention,1.0,,,,,,,
Brooklinen Brushed Flannel Core Sheet Set,,,1.0,1,mention,1.0,,,,,,,
Coyuchi Cloud Brushed Organic Flannel Sheet Set,,,1.0,1,mention,1.0,,,,,,,
Lands' End Comfy Super Soft Cotton Flannel Sheet Set,,,1.0,1,mention,1.0,,,,,,,
Pact Organic Room Service Sateen Sheet Set,,,1.0,1,mention,1.0,,,,,,,
Silk & Snow Egyptian Cotton 300-Thread-Count Sheet Set,Best Canadian Option,,1.0,1,mention,1.0,,,,,,,Canadian-owned brand.
The Company Store Classic Ultra-Cozy Cotton Velvet Flannel Sheet Set,,,1.0,1,mention,1.0,,,,,,,
Solid & Marble Dyed Fitted & Flat Sheet Set,,39.99,0,0,,,,,,,,,
Sweet Sheets® Silver Sprinkles Light Gray Bed Sheet Set,,60.0,0,0,,,,,,,,,
Organic Cotton 4-Piece Sateen Sheet Set,,129.0,0,0,,,,,,,,,
Bamboo Cotton Sheet Set – White,,139.99,0,0,,,,,,,,,
"Endy Sheets Percale Sheet Set (480-thread-count, 100% long-staple cotton)",,155.0,0,0,,,,,,,,,
100% Linen Sheet Set,,,0,0,,,,,,,,,
Organic and Fairtrade Cool + Crisp Cotton Bed Sheet Set,,,0,0,,,,,,,,,
